Count,Time
100,0.039000
500,0.083000
1000,0.130000
2000,0.175000
5000,0.224000
6000,0.274000
7000,0.324000
8000,0.375000
9000,0.429000
10000,0.485000
20000,0.551000
30000,0.629000
40000,0.721000
50000,0.820000
60000,0.931000
70000,1.054000
80000,1.186000
90000,1.339000
100000,1.493000
